id,lon,lat,code,eng,cn,name,web,country,degrees,continent,country_en
97,8.41484,49.01191,DE,KIT,卡尔斯鲁厄理工学院,Karlsruhe Institute of Technology,https://www.ifgg.kit.edu/english/index.php,德国,硕士 博士,欧洲,Germany
98,9.9516391,51.559196,DE,Gottingen,哥廷根大学,University of Gottingen,https://www.uni-goettingen.de/en/36647.html,德国,硕士 博士,欧洲,Germany
99,10.8984375,48.2831929,DE,Uni-Augsburg,奥格斯堡大学,University of Augsburg ,https://www.uni-augsburg.de/de/fakultaet/fai/geo/,德国,硕士 博士,欧洲,Germany
100,7.8484869,48.00166746,DE,Uni-Freiburg,弗莱堡大学,University of Freiburg,https://geographie.uni-freiburg.de/en/geographie-nahtstelle-zwischen-mensch-und-natur,德国,硕士 博士,欧洲,Germany
101,13.7270737,51.02628073,DE,TUD,德累斯顿工业大学,Technical University of Dresden,https://tu-dresden.de/bu/umwelt,德国,硕士 博士,欧洲,Germany
102,11.5813923,48.15034013,DE,LMU,慕尼黑大学,The Ludwig-Maximilians University,https://www.geographie.uni-muenchen.de/department/fiona_eng/index.php,德国,硕士 博士,欧洲,Germany
103,11.567831,48.14799224,DE,TUM,慕尼黑工业大学,Technical University of Munich,https://www.lrg.tum.de/en/gis/home/,德国,硕士 博士,欧洲,Germany
104,9.1042328,48.7428329,DE,Uni-Stuttgart,斯图加特大学,University of Stuttgart,https://www.ifp.uni-stuttgart.de/en/institute/,德国,硕士 博士,欧洲,Germany
105,7.6002216,51.96674532,DE,Uni-Muenster,明斯特大学,University of Munster,https://www.uni-muenster.de/Geoinformatics/en/,德国,硕士 博士,欧洲,Germany
106,13.3286905,52.51120639,DE,TUB,柏林工业大学,Technical University of Berlin,https://www.igg.tu-berlin.de/menue/ueber_uns/parameter/en/,德国,硕士 博士,欧洲,Germany
107,13.2972336,52.46605036,DE,HUB,柏林洪堡大学,Humboldt University of Berlin,https://www.geographie.hu-berlin.de/en/geography_department,德国,硕士 博士,欧洲,Germany
108,13.2925987,52.45203421,DE,FU Berlin,柏林自由大学,Free University of Berlin,https://www.geo.fu-berlin.de/en/geog/fachrichtungen/index.html,德国,硕士 博士,欧洲,Germany
109,9.9853706,53.56513978,DE,Uni-Hamburg,汉堡大学,University of Hamburg,https://www.geo.uni-hamburg.de/geographie.html,德国,硕士 博士,欧洲,Germany
110,9.7558594,52.29504228,DE,Uni-Hannover,汉诺威大学,University of Hannover,https://www.ikg.uni-hannover.de/en,德国,硕士 博士,欧洲,Germany
111,7.086525,50.72450294,DE,Uni-Bonn,波恩大学,University of Bonn,https://www.geographie.uni-bonn.de/department,德国,硕士 博士,欧洲,Germany
112,13.0132413,52.40019325,DE,Uni-Potsdam,波茨坦大学,University of Potsdam,https://www.uni-potsdam.de/en/umwelt/,德国,硕士 博士,欧洲,Germany
113,8.6713028,49.41432372,DE,Uni-Heidelberg,海德堡大学,Heidelberg University,https://www.geog.uni-heidelberg.de/gis/,德国,硕士 博士,欧洲,Germany
114,6.9349265,50.92662658,DE,Uni-Koeln,科隆大学,University of Cologne,https://geographie.uni-koeln.de/en/,德国,硕士 博士,欧洲,Germany
115,11.5891171,50.92923685,DE,Uni-Jena,耶拿大学,University of Jena,https://www.geographie.uni-jena.de/en,德国,硕士 博士,欧洲,Germany
116,-0.1331127,51.52433193,EN,UCL,伦敦大学学院,University College London,https://www.ucl.ac.uk/bartlett/casa/,英格兰,硕士 博士,欧洲,England
117,-1.5538788,53.80389494,EN,Leeds,利兹大学,University of Leeds,https://environment.leeds.ac.uk/geography,英格兰,硕士 博士,欧洲,England
118,-1.3949203,50.93355091,EN,Southampton,南安普顿大学,University of Southampton,https://www.southampton.ac.uk/geography/index.page,英格兰,硕士 博士,欧洲,England
119,-2.2329712,53.46495632,EN,Manchester,曼彻斯特大学,University of Manchester,https://www.seed.manchester.ac.uk/geography/,英格兰,硕士 博士,欧洲,England
120,-4.289217,55.87165121,ST,Glasgow,格拉斯哥大学,University of Glasgow,https://www.ubdc.ac.uk/,苏格兰,硕士 博士,欧洲,Scotland
121,-3.1751347,55.92227744,ST,Edinburgh,爱丁堡大学,University of Edinburgh,https://www.ed.ac.uk/geosciences,苏格兰,硕士 博士,欧洲,Scotland
122,-1.6152692,54.97939923,EN,Newcastle,纽卡斯尔大学,Newcastle University,https://www.ncl.ac.uk/engineering/research/civil/geomatics,英格兰,硕士 博士,欧洲,England
123,-1.4861584,53.38122934,EN,Sheffield,谢菲尔德大学,The University of Sheffield,https://www.sheffield.ac.uk/geography,英格兰,硕士 博士,欧洲,England
124,-0.1181,51.51148,EN,KCL,伦敦国王学院,King’s College London,https://www.kcl.ac.uk/nms/research/cusp-london,英格兰,硕士 博士,欧洲,England
125,-1.9327,52.4508,EN,UBirm,伯明翰大学,University of Birmingham,https://www.birmingham.ac.uk/schools/gees/index.aspx,英格兰,硕士 博士,欧洲,England
126,-2.78991,54.0103,EN,LanU,兰开斯特大学,Lancaster University,https://www.lancaster.ac.uk/geography/,英格兰,硕士 博士,欧洲,England
